test	size	container	runtime	min	max	avg	var	dev
array	15000	vector	17076	15.72400	45.55300	17.07626	7.67359	2.77013
array	15000	map	724056	709.47000	1065.26300	724.05625	847.44897	29.11098
iterator	15000	tuple	14118	13.87900	39.54800	14.11818	1.17503	1.08399
iterator	15000	vector	14722	13.67400	33.01200	14.72251	4.11527	2.02861
iterator	15000	map	121432	114.15100	594.47000	121.43288	553.37966	23.52402
find	15000	tuple	458378	450.23800	665.28900	458.37829	288.90503	16.99721
find	15000	map	674589	659.47500	863.09600	674.58945	689.53040	26.25891
lower_bound	15000	tuple	1046180	1029.96000	1283.19400	1046.18088	663.45060	25.75753
lower_bound	15000	map	1470295	1276.61800	2108.94300	1470.29553	6250.09064	79.05751
emplace	16000	vector	36121	33.98800	162.57800	36.12176	35.17568	5.93091
emplace	16000	tuple	40670	36.97200	79.64000	40.67002	23.46599	4.84417
emplace	16000	map	663546	624.04700	927.92400	663.54622	624.03676	24.98073
array	16000	tuple	16600	16.25900	42.59800	16.60064	1.96722	1.40258
array	16000	vector	17390	16.28500	45.28400	17.39013	7.16697	2.67712
array	16000	map	781602	761.99700	1129.77400	781.60231	1090.11660	33.01691
iterator	16000	tuple	15328	14.91800	40.56500	15.32869	2.88842	1.69954
iterator	16000	vector	15420	14.58100	28.63900	15.42073	1.71536	1.30972
iterator	16000	map	116003	109.80000	463.02300	116.00390	307.95040	17.54852
find	16000	tuple	502427	480.55300	689.81500	502.42736	302.03342	17.37911
find	16000	map	721077	703.12400	1086.14300	721.07743	789.07614	28.09050
lower_bound	16000	tuple	1119529	1099.96500	1304.88900	1119.52959	782.69780	27.97674
lower_bound	16000	map	1576714	1471.68100	3204.41000	1576.71415	12665.68606	112.54193
emplace	17000	vector	38478	35.96700	195.63100	38.47864	40.77519	6.38555
emplace	17000	tuple	43519	40.01900	78.68000	43.51937	20.49065	4.52666
emplace	17000	map	699897	667.50200	886.29000	699.89736	483.72140	21.99367
array	17000	tuple	18607	18.14200	46.81600	18.60725	3.81041	1.95203
array	17000	vector	18632	17.33500	39.89800	18.63287	3.80660	1.95105
array	17000	map	856332	836.86000	1276.19900	856.33249	1188.68993	34.47738
iterator	17000	tuple	16187	15.85900	45.32900	16.18797	3.16787	1.77985
iterator	17000	vector	16426	15.53300	31.28200	16.42675	3.12727	1.76841
iterator	17000	map	134353	127.79200	613.13800	134.35334	599.64180	24.48758
find	17000	tuple	522585	510.48500	679.38700	522.58501	327.67789	18.10188
find	17000	map	820663	769.54900	1412.79600	820.66380	2175.53524	46.64263
lower_bound	17000	tuple	1186575	1168.18500	1460.50500	1186.57512	671.48253	25.91298
lower_bound	17000	map	1650863	1540.95600	2216.56100	1650.86375	3963.42387	62.95573
emplace	18000	vector	40405	37.95500	134.39800	40.40541	18.05103	4.24865
emplace	18000	tuple	46337	42.13700	97.33800	46.33792	27.88386	5.28052
emplace	18000	map	756989	715.28600	1596.87900	756.98936	2225.84700	47.17888
array	18000	tuple	20104	19.15800	69.03600	20.10467	10.46762	3.23537
array	18000	vector	21768	19.21300	54.04300	21.76807	15.59989	3.94967
array	18000	map	931459	882.54200	1758.86100	931.45909	2533.14321	50.33034
iterator	18000	tuple	17222	16.74100	43.21100	17.22233	2.87751	1.69632
iterator	18000	vector	18204	16.69500	51.29400	18.20475	7.55902	2.74937
iterator	18000	map	146383	136.67800	595.96600	146.38340	942.94781	30.70746
find	18000	tuple	553780	541.24900	769.87100	553.78073	628.55588	25.07102
find	18000	map	844101	821.65000	1135.11400	844.10149	1455.67654	38.15333
lower_bound	18000	tuple	1282490	1236.28300	1550.10500	1282.49015	2094.05532	45.76085
lower_bound	18000	map	1725888	1638.23100	2334.25800	1725.88881	3672.39240	60.60027
emplace	19000	vector	42600	39.43300	83.10800	42.60066	19.73909	4.44287
emplace	19000	tuple	48796	45.74200	74.76000	48.79662	6.41328	2.53245
emplace	19000	map	787857	747.05300	1190.19200	787.85796	1290.57378	35.92456
array	19000	vector	21106	19.53100	41.40400	21.10641	7.02506	2.65048
array	19000	tuple	21224	20.28700	46.58100	21.22489	8.94816	2.99135
array	19000	map	926332	907.15400	1399.41400	926.33232	1432.10293	37.84314
iterator	19000	tuple	18021	17.74100	66.52400	18.02186	3.78810	1.94630
iterator	19000	vector	19118	17.72800	44.59200	19.11822	7.35004	2.71109
iterator	19000	map	148181	141.06600	587.33300	148.18126	505.56891	22.48486
find	19000	tuple	582662	571.45100	777.51300	582.66230	525.10594	22.91519
find	19000	map	889698	865.15400	1205.36400	889.69872	1376.74684	37.10454
lower_bound	19000	tuple	1330294	1304.81100	1585.54100	1330.29459	1618.98053	40.23656
lower_bound	19000	map	1882178	1693.10300	2562.83600	1882.17871	4903.46554	70.02475
emplace	20000	vector	44634	42.39000	156.74500	44.63466	24.96059	4.99606
emplace	20000	tuple	50979	47.06600	114.10800	50.97985	32.08454	5.66432
emplace	20000	map	830795	780.20600	1147.23200	830.79559	1285.24049	35.85025
array	20000	tuple	20990	20.24900	60.61700	20.99011	6.21401	2.49279
array	20000	vector	21752	20.30700	58.82400	21.75270	7.52269	2.74275
array	20000	map	1008447	986.57300	1556.99000	1008.44755	1699.07041	41.21978
iterator	20000	tuple	19455	18.64500	56.01500	19.45571	6.59612	2.56829
iterator	20000	vector	19933	18.63600	44.83500	19.93350	6.89375	2.62559
iterator	20000	map	161372	149.93000	727.39700	161.37287	1580.76091	39.75878
find	20000	tuple	618760	601.45700	812.68900	618.76001	612.35955	24.74590
find	20000	map	944175	919.04300	1200.90900	944.17544	1532.18524	39.14314
lower_bound	20000	tuple	1434858	1373.54400	2196.62900	1434.85896	18356.40556	135.48581
lower_bound	20000	map	1960475	1789.99800	2534.20000	1960.47566	4910.49949	70.07496
