test	size	container	runtime	min	max	avg	var	dev
array	11000	tuple	12016	11.56800	31.36300	12.01659	1.95770	1.39918
array	11000	map	531927	509.04500	1015.34100	531.92789	1068.60111	32.68946
iterator	11000	vector	10019	9.40300	27.52100	10.01947	1.88184	1.37180
iterator	11000	tuple	10369	9.79200	27.98000	10.36974	2.34663	1.53187
iterator	11000	map	89760	84.04200	273.50100	89.76003	83.77411	9.15282
find	11000	tuple	73159	69.02100	137.30200	73.15955	46.23212	6.79942
find	11000	map	489719	463.08200	844.03300	489.71953	1074.28378	32.77627
lower_bound	11000	tuple	188190	180.09600	253.71100	188.19064	121.46588	11.02116
lower_bound	11000	map	476906	457.47400	715.28000	476.90670	718.18045	26.79889
emplace	12000	vector	28469	24.28200	154.98900	28.46987	36.44755	6.03718
emplace	12000	tuple	29851	28.18300	90.53300	29.85181	10.42409	3.22864
emplace	12000	map	511318	469.66400	767.22800	511.31801	943.90660	30.72306
array	12000	vector	12878	12.16400	32.62900	12.87838	3.59536	1.89614
array	12000	tuple	12994	12.12600	46.57200	12.99421	7.19139	2.68168
array	12000	map	552332	528.54400	751.19200	552.33276	892.39140	29.87292
iterator	12000	vector	11273	10.40100	25.74500	11.27333	2.33953	1.52955
iterator	12000	tuple	16530	15.36700	50.16400	16.53047	5.25319	2.29198
iterator	12000	map	95327	86.28300	300.17500	95.32761	121.80528	11.03654
find	12000	tuple	81801	75.42000	144.87300	81.80126	107.40876	10.36382
find	12000	map	551001	506.49700	1908.37000	551.00118	7418.69665	86.13186
lower_bound	12000	tuple	203268	196.47100	278.39100	203.26864	124.02909	11.13683
lower_bound	12000	map	524638	499.50400	693.41000	524.63892	894.19556	29.90310
emplace	13000	vector	29146	26.65900	57.78700	29.14696	11.91828	3.45229
emplace	13000	tuple	47072	43.36500	109.37700	47.07258	21.02859	4.58569
emplace	13000	map	548559	509.23700	803.99400	548.55923	1091.79592	33.04234
array	13000	vector	14626	13.15300	28.28000	14.62664	3.10043	1.76080
array	13000	tuple	14768	13.60700	49.11200	14.76823	7.64719	2.76535
array	13000	map	619745	591.58400	850.69700	619.74529	1019.27860	31.92614
iterator	13000	tuple	12689	12.36200	45.58600	12.68974	2.91206	1.70647
iterator	13000	vector	12984	11.95100	40.10600	12.98487	5.56803	2.35967
iterator	13000	map	101081	94.59100	356.16700	101.08124	130.36187	11.41761
find	13000	tuple	86350	81.60100	139.27700	86.35002	35.77901	5.98156
find	13000	map	594015	564.32100	938.23300	594.01591	918.40318	30.30517
lower_bound	13000	tuple	221882	212.83700	295.87200	221.88284	133.36499	11.54838
lower_bound	13000	map	585736	555.15100	1621.43000	585.73684	3107.75605	55.74725
emplace	14000	tuple	34804	32.70900	66.76600	34.80431	9.70258	3.11490
emplace	14000	vector	34959	29.23200	83.77800	34.95997	45.92352	6.77669
emplace	14000	map	596010	553.29100	902.76000	596.01010	1214.88551	34.85521
array	14000	tuple	15201	14.24100	50.13500	15.20192	7.78655	2.79044
array	14000	vector	16374	14.34100	34.25000	16.37499	8.14773	2.85442
array	14000	map	715176	642.80000	2859.90000	715.17665	16154.76491	127.10140
iterator	14000	tuple	13237	12.78800	41.67700	13.23707	2.82492	1.68075
iterator	14000	vector	14413	12.81200	35.13200	14.41327	6.69857	2.58816
iterator	14000	map	117083	106.27200	1118.09600	117.08369	2655.60263	51.53254
find	14000	tuple	93913	87.85300	177.67400	93.91378	86.54112	9.30275
find	14000	map	648282	617.57900	1400.36900	648.28225	2343.78550	48.41266
lower_bound	14000	tuple	236370	229.21200	343.59100	236.37067	165.07008	12.84796
lower_bound	14000	map	641707	607.43100	1634.19300	641.70799	3669.25436	60.57437
emplace	15000	vector	34186	30.95500	71.02000	34.18623	16.61224	4.07581
emplace	15000	tuple	53830	49.86600	104.05000	53.83035	23.31044	4.82809
emplace	15000	map	638368	586.06600	971.46200	638.36854	1765.79345	42.02135
array	15000	vector	16461	15.33100	42.06100	16.46154	8.24692	2.87175
array	15000	tuple	16727	15.34100	103.07000	16.72711	15.31868	3.91391
array	15000	map	795146	759.04500	1537.34600	795.14676	2220.52545	47.12245
iterator	15000	vector	14597	13.47800	36.45700	14.59735	5.08480	2.25495
iterator	15000	tuple	14646	13.77100	34.84700	14.64648	2.99607	1.73091
iterator	15000	map	121742	111.87600	550.99400	121.74262	258.16361	16.06747
find	15000	tuple	99004	94.12400	176.94400	99.00410	59.12899	7.68954
find	15000	map	713144	655.78500	2118.11900	713.14433	10046.71168	100.23329
lower_bound	15000	tuple	255629	245.61200	379.03700	255.62912	254.87880	15.96492
lower_bound	15000	map	709039	667.29900	2057.39500	709.03972	7210.66259	84.91562
emplace	16000	vector	38680	33.12800	88.51400	38.68080	37.15130	6.09519
emplace	16000	tuple	39257	36.74200	83.02700	39.25707	22.16203	4.70766
emplace	16000	map	679675	627.60700	1007.73100	679.67526	1902.05519	43.61256
array	16000	vector	17362	16.27000	42.43600	17.36223	5.30228	2.30267
array	16000	tuple	17617	16.36800	53.09300	17.61712	10.04213	3.16893
array	16000	map	867241	828.15200	1180.21200	867.24189	2049.12512	45.26726
iterator	16000	tuple	15576	14.79600	59.01800	15.57619	8.19278	2.86230
iterator	16000	vector	16515	15.00100	41.06600	16.51566	5.61057	2.36866
iterator	16000	map	114395	106.52400	335.97100	114.39576	191.95117	13.85464
find	16000	tuple	106911	100.35500	211.04200	106.91168	118.37518	10.88004
find	16000	map	740886	704.52000	1485.57500	740.88628	2460.95200	49.60798
lower_bound	16000	tuple	271662	261.99900	327.31800	271.66253	156.74009	12.51959
lower_bound	16000	map	727675	693.56700	1177.12000	727.67563	1889.44365	43.46773
emplace	17000	vector	40928	35.60700	80.63500	40.92828	35.73416	5.97781
emplace	17000	tuple	62594	56.54600	94.75500	62.59477	22.18552	4.71015
emplace	17000	map	731001	665.93000	1396.56300	731.00149	2748.66467	52.42771
array	17000	tuple	19186	17.81700	50.07200	19.18670	9.22536	3.03733
array	17000	vector	19986	17.37900	45.11300	19.98632	15.94114	3.99264
array	17000	map	854693	814.33400	1522.35200	854.69379	3094.27490	55.62621
iterator	17000	tuple	16567	15.86500	44.27900	16.56718	4.87061	2.20694
iterator	17000	vector	18325	15.82200	54.31900	18.32536	11.27460	3.35777
iterator	17000	map	141114	129.91900	460.11400	141.11487	449.12548	21.19258
find	17000	tuple	111563	106.64000	152.83200	111.56319	42.02293	6.48251
find	17000	map	811030	767.54600	1576.56200	811.03092	5046.39754	71.03800
lower_bound	17000	tuple	288491	278.35300	412.99300	288.49177	205.69799	14.34218
lower_bound	17000	map	792970	756.44000	1036.92900	792.97025	1292.70783	35.95425
emplace	18000	vector	44194	38.18100	131.14000	44.19478	73.39988	8.56737
emplace	18000	tuple	45245	43.94200	122.95400	45.24599	10.18584	3.19153
emplace	18000	map	762976	703.16900	1225.46700	762.97619	1402.38731	37.44846
array	18000	tuple	19139	18.38900	46.97000	19.13908	5.27448	2.29662
array	18000	vector	19623	18.96800	37.19200	19.62374	2.48736	1.57714
array	18000	map	941182	886.47300	2412.05500	941.18250	5915.66007	76.91333
iterator	18000	tuple	17339	16.22000	57.45300	17.33998	8.53265	2.92107
iterator	18000	vector	19395	16.79500	49.20600	19.39543	12.87882	3.58871
iterator	18000	map	138086	127.67000	389.69700	138.08648	369.57468	19.22433
find	18000	tuple	120979	113.15100	208.53800	120.97986	142.65357	11.94377
find	18000	map	862571	823.82600	1443.82600	862.57117	2105.39898	45.88463
lower_bound	18000	tuple	306901	294.74200	431.29500	306.90124	221.45540	14.88138
lower_bound	18000	map	854599	812.80100	2435.72800	854.59923	9700.80249	98.49265
emplace	19000	vector	44603	39.69500	84.95200	44.60386	33.19230	5.76128
emplace	19000	tuple	69925	64.64900	112.24100	69.92534	39.99392	6.32407
emplace	19000	map	799550	747.44000	1055.74000	799.55023	1305.64497	36.13371
array	19000	tuple	21247	20.28900	55.90100	21.24735	7.28838	2.69970
array	19000	vector	22479	19.50100	49.92700	22.47980	14.19753	3.76796
array	19000	map	976933	936.15300	1654.42200	976.93357	2518.95557	50.18920
iterator	19000	tuple	18440	17.72900	67.77600	18.44066	7.21475	2.68603
iterator	19000	vector	19758	17.73700	67.20800	19.75828	10.22087	3.19701
iterator	19000	map	151570	142.05300	507.76000	151.57077	410.45793	20.25976
find	19000	tuple	126995	119.17800	244.36600	126.99514	167.33716	12.93589
find	19000	map	938285	877.52400	1931.35300	938.28521	4745.92200	68.89065
lower_bound	19000	tuple	325109	311.09300	433.81500	325.10965	310.92698	17.63312
lower_bound	19000	map	912869	851.38500	1383.85900	912.86929	3583.84038	59.86519
emplace	20000	vector	45865	41.73200	94.03500	45.86568	27.00785	5.19691
